MES,CAIXAS
2020-08,5383 
2020-09,4629 
2020-10,6659 
2020-11,5626 
2020-12,8440 
2021-01,6709 
2021-02,5261 
2021-03,7895 
2021-04,7868 
2021-05,9088 
2021-06,7646 
2021-07,5652 
2021-08,6748 
